type;code;label-de_DE;label-en_US;label-fr_FR;group;unique;useable_as_grid_filter;allowed_extensions;metric_family;default_metric_unit;reference_data_name;localizable;scopable
pim_catalog_textarea;description;Beschreibung;Description;Description;General;0;1;;;;;1;1
pim_catalog_price_collection;price;Preis;Price;Prix;Pricing;0;1;;;;;0;0
pim_catalog_textarea;short_description;Kurze Beschreibung;Short description;Description courte;General;0;1;;;;;1;1
pim_catalog_text;Field4;;Field4;Champ4;Custom;0;0;;;;;0;0
pim_catalog_number;Field1;;Field1;Champ1;Custom;0;0;;;;;0;0
pim_catalog_number;Field2;;Field2;Champ2;Custom;0;0;;;;;0;0
pim_catalog_number;Field3;;Filed3;Champ3;Custom;0;0;;;;;0;0
pim_catalog_text;Field5;;Field5;Champ5;Custom;0;0;;;;;0;0
pim_catalog_boolean;ForPurchase;;For purchase;Proposer Ã  l'achat;Publishing;0;0;;;;;0;0
pim_catalog_text;Style;;Style;Style;Descriptif;0;0;;;;;0;0
pim_catalog_text;Age;;Age;Age;Descriptif;0;0;;;;;0;0
pim_catalog_simpleselect;W_Clothing_Size;;Clothing size;Taille de vÃªtements;Defining;0;0;;;;;0;0
pim_catalog_simpleselect;W_Shoe_Size;;Shoes size;Pointure;Defining;0;0;;;;;0;0
pim_catalog_simpleselect;W_Color;;Color;Couleur;Defining;0;0;;;;;0;0
pim_catalog_text;Keyword;;Keyword;Mot clÃ©;General;0;0;;;;;0;0
pim_catalog_boolean;Display_To_Customer;;Display to customer;Afficher au client;Display;0;0;;;;;0;0
pim_catalog_text;image_thumbnail;;Thumbnail;Image miniature;Display;0;0;;;;;0;0
pim_catalog_text;image_Full;;Full image;Image taille rÃ©elle;Display;0;0;;;;;0;0
pim_catalog_price_collection;ListPrice;Katalogpreis;Catalogue price;Prix de catalogue;Pricing;0;0;;;;;0;0
